Reporting period end,Subject,Category,Data Item,Class of business group,Class of business category,Class of business,Reporting year basis,Accident/underwriting year,Development year,Value,Notes
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2012,1,499000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2011,2,355000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2010,3,254000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2009,4,137000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2008,5,97000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2007,6,58000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2006,7,36000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2005,8,14000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2004,9,13000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,2003,10,7000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Direct business,Long-tail,Public and product liability,Accident year,,11,606000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2013,0,#N/A,Data have been masked to maintain confidentiality.
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2012,1,426000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2011,2,258000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2010,3,240000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2009,4,176000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2008,5,114000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2007,6,104000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2006,7,73000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2005,8,48000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2004,9,44000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,2003,10,44000000,
12/31/2013,Net,Ultimate cost components,Net IBNR/INBER by class of business,Inwards reinsurance,Inwards reinsurance,Inwards reinsurance,Underwriting year,,11,286000000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2013,0,52000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2012,1,8000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2011,2,3000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2010,3,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2009,4,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2008,5,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2007,6,#N/A,Data have been masked to maintain confidentiality.
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,,11,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2013,0,354000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2012,1,52000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2011,2,12000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2010,3,5000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2009,4,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2008,5,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2007,6,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2006,7,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Domestic motor vehicle,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2013,0,16000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2012,1,3000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2011,2,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2010,3,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2009,4,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2008,5,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2007,6,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Fire and industrial special risks (ISR),Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2013,0,136000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2012,1,17000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2011,2,6000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2010,3,3000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2009,4,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2008,5,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2007,6,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Short-tail property,Houseowners and householders,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2013,0,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2012,1,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2011,2,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2010,3,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2009,4,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2008,5,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2007,6,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Aviation,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2013,0,6000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2012,1,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2011,2,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2010,3,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2009,4,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2008,5,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2007,6,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Consumer credit,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2013,0,4000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2012,1,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2011,2,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2010,3,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2009,4,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2008,5,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2007,6,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Marine,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2013,0,39000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2012,1,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2011,2,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2010,3,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2009,4,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2008,5,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2007,6,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2013,0,44000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2012,1,4000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2011,2,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2010,3,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2009,4,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2008,5,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2007,6,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Other accident,Accident year,,11,4000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2013,0,7000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2012,1,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2011,2,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2010,3,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2009,4,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2008,5,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2007,6,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Other,Travel,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2013,0,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2012,1,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2011,2,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2010,3,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2009,4,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2008,5,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2007,6,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Mortgage,Mortgage,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2013,0,13000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2012,1,10000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2011,2,7000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2010,3,4000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2009,4,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2008,5,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2007,6,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Compulsory third party (CTP) motor vehicle,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2013,0,16000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2012,1,5000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2011,2,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2010,3,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2009,4,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2008,5,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2007,6,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Employers' liability,Accident year,,11,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2013,0,12000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2012,1,7000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2011,2,4000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2010,3,3000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2009,4,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2008,5,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2007,6,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Professional indemnity,Accident year,,11,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2013,0,9000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2012,1,5000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2011,2,3000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2010,3,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2009,4,2000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2008,5,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2007,6,1000,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2006,7,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2005,8,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2004,9,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,2003,10,0,
12/31/2013,Number of claims,Number of claims,Number of claims outstanding by class of business,Direct business,Long-tail,Public and product liability,Accident year,,11,58000,
12/31/2013,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2013,0,308000,
12/31/2013,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2012,1,282000,
12/31/2013,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2011,2,284000,
12/31/2013,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2010,3,291000,
12/31/2013,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2009,4,284000,
12/31/2013,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2008,5,#N/A,Data have been masked to maintain confidentiality.
12/31/2013,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2007,6,#N/A,Data have been masked to maintain confidentiality.
12/31/2013,Number of claims,Number of claims,Number of claims reported by class of business,Direct business,Short-tail property,Commercial motor vehicle,Accident year,2006,7,#N/A,Data have been masked to maintain confidentiality.
